,date,total,price,condition,movement,case material,band material,model,listingType,start,url
136,2019-04-21,6800.0,6800.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-18,http://www.ebay.com/itm/rolex-mens-steel-submariner-black-dial-bezel-16610-box-books-/183779704505
137,2019-04-21,10995.0,10995.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-16,http://www.ebay.com/itm/rolex-submariner-116613-blue-ceramic-18k-yellow-gold-stainless-steel-/273809199569
138,2019-04-21,10100.0,10100.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2019-04-14,http://www.ebay.com/itm/vintage-men-s-rolex-submariner-1680-nice-patina-runs-perfect-1978-aged-dial-rare-/323777799712
139,2019-04-21,5566.0,5550.0,pre-owned,Mechanical (Automatic),Stainless Steel,NULL,Rolex Submariner,StoreInventory,2019-03-06,http://www.ebay.com/itm/rolex-oyster-perpetual-submariner-14060m-4-line-engraved-rehaut-2008-/153405600939
140,2019-04-21,3620.0,3600.0,pre-owned,Mechanical (Automatic),Gold,Leather,Datejust,FixedPrice,2019-04-21,http://www.ebay.com/itm/rolex-cellini-mechanical-18k-yellow-gold-watch-strap-39mm-/143223802989
141,2019-04-21,4000.0,4000.0,pre-owned,NULL,NULL,NULL,NULL,FixedPrice,2019-04-21,http://www.ebay.com/itm/rolex-submariner-116610-wrist-watch-men-/233204920899
142,2019-04-21,7805.0,7750.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-03-19,http://www.ebay.com/itm/mens-rolex-submariner-16610t-stainless-steel-black-dial-bezel-insert-2008-/264246369770
143,2019-04-21,3894.0,3894.0,pre-owned,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Datejust,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-datejust-31mm-midsize-two-tone-stainless-gold-68273-black-stick-watch-/273814952285
144,2019-04-21,3125.0,3080.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,2019-04-07,http://www.ebay.com/itm/stunning-1969-rolex-oyster-perpetual-date-rolex-bracelet-vintage-watch-/173865483310
145,2019-04-21,6016.0,6000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,2019-04-02,http://www.ebay.com/itm/rolex-oyster-perpetual-explorer-ii-216570-black-dial-rolex-warranty-2018-/192878120024
146,2019-04-21,6550.0,6550.0,pre-owned,NULL,NULL,NULL,16713,FixedPrice,2019-03-25,http://www.ebay.com/itm/rare-rolex-gmt-master-ii-16713-root-beer-mens-watch-/264253702111
147,2019-04-21,3400.0,3400.0,pre-owned,Mechanical (Hand-winding),Stainless Steel,"Crocodile Skin, Leather",Rolex Oysterdate,StoreInventory,2019-02-20,http://www.ebay.com/itm/rolex-swiss-mens-oysterdate-precision-6694-hand-wind-c-1974-all-original-lv373-/264206466192
148,2019-04-21,3370.0,3350.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex 3458,Auction,2019-04-18,http://www.ebay.com/itm/rolex-3458-lady-swiss-made-manual-vintage-1963-stainless-steel-dress-watch-mc306-/264288340173
149,2019-04-21,5000.0,5000.0,pre-owned,Mechanical (Automatic),NULL,NULL,Rolex Datejust 116300,FixedPrice,2019-04-21,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-ii-41mm-stainless-steel-silver-stick-dial-116300-/333165473637
150,2019-04-21,4000.0,4000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,StoreInventory,2019-04-09,http://www.ebay.com/itm/rolex-datejust-178240-stainless-steel-automatic-watch-31mm-box-paperwork-/401746410905
151,2019-04-21,5000.0,5000.0,pre-owned,NULL,NULL,NULL,NULL,FixedPrice,2019-04-21,http://www.ebay.com/itm/rolex-submariner-116618lb-wrist-watch-men-/233204509881
152,2019-04-21,6800.0,6800.0,pre-owned,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,2019-04-11,http://www.ebay.com/itm/estate-rolex-ladies-masterpiece-president-18k-gold-datejust-diamond-bezel-/303123241504
153,2019-04-21,3400.0,3400.0,seller refurbished,Mechanical (Hand-winding),Solid Gold,Yellow Gold,Rolex Cellini,StoreInventory,2019-04-17,http://www.ebay.com/itm/unisex-vintage-rolex-cellini-18k-yellow-gold-w-gold-dial-/273810753854
154,2019-04-21,5326.0,5311.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-oyster-perpetual-air-king-stainless-steel-/133023631957
155,2019-04-21,6450.0,6450.0,new with tags,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-datejust-116200-steel-36-mm-oyster-bulls-eye-black-silver-dial-/173874393085
156,2019-04-21,3887.0,3887.0,pre-owned,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,StoreInventory,2019-04-12,http://www.ebay.com/itm/rolex-mens-datejust-steel-oyster-diamond-sapphire-bezel-dial-pearl-watch-/254197951596
157,2019-04-20,11699.0,11699.0,pre-owned,Automatic Self Wind,Stainless Steel,Stainless and Solid Gold,NULL,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-submariner-116613ln-2016-date-steel-18k-yellow-gold-mens-watch-/173879335047
158,2019-04-20,5700.0,5700.0,pre-owned,Mechanical (Automatic),14K Yellow GOld,Alligator,15037 ROlex 14K Oyster Perpetual Date,FixedPrice,2018-01-13,http://www.ebay.com/itm/rolex-oyster-perpetual-date-14k-yellow-gold-15037-34mm-circa-1980-watch-/282808471893
159,2019-04-20,7500.0,7500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-02-10,http://www.ebay.com/itm/rolex-submariner-no-date-114060-black-dial-ceramic-steel-w-b-p-2015-mens-watch-/113630488586
160,2019-04-20,7250.0,7250.0,pre-owned,Automatic,"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Submariner,StoreInventory,2019-04-04,http://www.ebay.com/itm/mens-rolex-datejust-36mm-two-tone-diamond-watch-app-9-5-carats-si1-vs2-diamonds-/163634170942
161,2019-04-20,5000.0,5000.0,pre-owned,Mechanical (Automatic),Stainless Steel,NULL,Rolex Datejust II 116300,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-ii-41mm-stainless-steel-silver-stick-dial-116300-/233204364521
162,2019-04-20,4432.0,4400.0,pre-owned,Mechanical (Automatic),NULL,"Yellow Gold, Stainless Steel",Datejust,FixedPrice,2019-04-07,http://www.ebay.com/itm/rolex-datejust-36mm-16233-bi-metal-/123726685990
163,2019-04-20,3337.0,3333.0,pre-owned,Mechanical (Automatic) 26J Cal. 1570,All stainless Steel,S/S bracelet,1500 Oyster Perpetual Chronometer,Auction,2019-04-15,http://www.ebay.com/itm/vintage-rolex-oyster-perpetual-chronometer-mens-wristwatch-non-working-/273808213987
164,2019-04-20,7800.0,7800.0,new with tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,StoreInventory,2019-04-08,http://www.ebay.com/itm/rolex-datejust-36mm-black-dial-steel-rose-gold-watch-116231-jubilee-band-/273798749799
165,2019-04-20,3520.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-03-26,http://www.ebay.com/itm/vintage-rolex-cellini-18k-solid-gold-manual-wind-cal-1601-watch-unisex-/312544160806
166,2019-04-20,9600.0,9600.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-10,http://www.ebay.com/itm/7016-0-tudor-rolex-submariner-prince-1968-restore-runs-strong-cool-orig-dial-/333151891297
167,2019-04-20,6000.0,6000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-13,http://www.ebay.com/itm/vintage-mens-rolex-18k-stainless-oyster-perpetual-datejust-jubilee-116233-/202653080756
168,2019-04-20,8375.0,8300.0,pre-owned,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,NULL,FixedPrice,2019-04-06,http://www.ebay.com/itm/rolex-18k-yellow-gold-president-quartz-36mm-day-date-/133015126634
169,2019-04-20,7010.0,7010.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-13,http://www.ebay.com/itm/rolex-explorer-ii-216570-oyster-automatic-white-dial-/333155991622
170,2019-04-20,9150.0,9150.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction,2019-04-13,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-automatic-mens-44mm-stainless-watch-/333155938584
171,2019-04-20,9500.0,9500.0,seller refurbished,NULL,NULL,Stainless Steel,NULL,FixedPrice,2019-03-02,http://www.ebay.com/itm/rolex-stainless-steel-gmt-master-ii-pepsi-40mm-16710-box-warranty-minty-/283401246572
172,2019-04-20,5775.0,5750.0,new with tags,Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-04-13,http://www.ebay.com/itm/new-rolex-oyster-perpetual-date-34-mm-silver-dial-watch-115234-2018-unworn-7450-/163648577113
173,2019-04-20,7379.0,7250.0,new with tags,Mechanical (Automatic),Stainless Steel,NULL,Datejust 41,StoreInventory,2019-03-26,http://www.ebay.com/itm/rolex-datejust-41mm-126334-black-baton-dial-box-paperwork-2018-unworn-/163617215739
