total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
7900,7900,pre-owned,116233,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
4000,4000,pre-owned,69174,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
6900,6900,new without tags,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5022,4975,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Good deal
9503,9500,pre-owned,1803,Automatic,18k Gold,18k Gold,Oysterdate,StoreInventory,Bad deal
11493,11493,pre-owned,1675,Automatic,18k Gold,18k Gold,GMT-Master,FixedPrice,Bad deal
8450,8450,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
4099,4099,pre-owned,114270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Good deal
10595,10595,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
6890,6855,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
4408,4392,pre-owned,16628,Automatic,18k Gold,18k Gold,Yachmaster,Auction,Good deal
10595,10595,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
3050,3000,pre-owned,15210,Automatic,Stainless Steel,Leather,Datejust,FixedPrice,Good deal
3750,3750,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
9950,9950,pre-owned,16613,Automatic,18k Gold,18k Gold,Submariner,StoreInventory,Bad deal
7500,7500,pre-owned,6305,Automatic,18k Gold,Leather,Oysterdate,Auction,Bad deal
11000,11000,new without tags,16013,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
5678,5678,pre-owned,126334,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
4635,4600,pre-owned,68274,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
6000,6000,pre-owned,116234,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
3500,3500,pre-owned,69173,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,Auction,Bad deal
11805,11750,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
3500,3500,pre-owned,69173,Automatic,Stainless Steel,Two Tone 10k Gold,Datejust,Auction,Bad deal
8150,8150,pre-owned,18038,Automatic,18k Gold,Leather,President,FixedPrice,Good deal
6100,6100,new with tags,178240,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3000,3000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
5888,5888,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3544,3499,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
6000,6000,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3305,3250,pre-owned,1601,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
4301,4301,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
6900,6900,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
3150,3150,pre-owned,16013,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Good deal
3150,3150,pre-owned,16013,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Good deal
5580,5500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
3650,3650,pre-owned,16234,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
3600,3600,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,Auction,Bad deal
5032,5000,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
