total,price,condition,MPN,movement,case material,band material,model,listingType,url
6520,6500,pre-owned,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,StoreInventory,http://www.ebay.com/itm/rolex-116300-datejust-ii-slate-roman-smooth-bezel-box-papers-steel-automatic-/163545277245
10021,10000,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-new-wow-/283387103902
4000,4000,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-ladies-18k-yellow-gold-president-diamond-dial-bezel-/332901319972
5293,5293,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/2005-mint-rolex-explorer-ii-no-holes-16570-t-f-black-red-date-gmt-40mm-stainless-/264079620752
5000,5000,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-stainless-steel-watch-16570-w5730-/323674323395
4395,4395,pre-owned,9500,Automatic,Stainless Steel,Stainless Steel,Rolex Yacht Master,FixedPrice,http://www.ebay.com/itm/rolex-yacht-master-ladies-29mm-stainless-steel-platinum-ref-169622-box-papers-/401603141077
11000,11000,pre-owned,18238,Mechanical (Automatic),18k Yellow Gold,18k Yellow Gold,Day-Date,FixedPrice,http://www.ebay.com/itm/rolex-watch-slightly-used-gold-day-date-president-18038-greatl-gift-idea-/223414733878
3600,3600,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,StoreInventory,http://www.ebay.com/itm/authentic-rolex-mens-datejust-1601-36mm-steel-diamond-dial-smooth-bezel-watch-/113636752230
7000,7000,pre-owned,162644,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless Steel,Rolex Datejust Turnograph,StoreInventory,http://www.ebay.com/itm/rolex-datejust-ref-6609-18k-rose-gold-thunderbird-bezel-36mm-free-shipping-/202605113940
5150,5150,pre-owned,16014,Mechanical (Automatic),Stainless Steel,"Stainless Steel, White Gold",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-auto-36mm-steel-gold-mens-jubilee-bracelet-watch-116234-/292971000411
3985,3985,pre-owned,69174,Mechanical (Automatic),"Added Genuine Diamonds on Lugs, Stainless Steel",Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/ladies-rolex-datejust-ref-69174-diamond-dial-bezel-box-papers-/264090993069
5000,5000,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,http://www.ebay.com/itm/rolex-18k-yellow-gold-day-date-ref-1803-3ct-diamond-bezel-dial-/333087758915
7000,7000,pre-owned,162644,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless Steel,Rolex Datejust Turnograph,StoreInventory,http://www.ebay.com/itm/rolex-datejust-ref-6609-18k-rose-gold-thunderbird-bezel-36mm-free-shipping-/202581924133
8495,8495,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-116610-black-ceramic-stainless-steel-box-and-booklets-2016-/283353338583
5992,5992,pre-owned,14060,Mechanical (Automatic),Stainless Steel,Stainless Steel,No Date Submariner,FixedPrice,http://www.ebay.com/itm/mint-rolex-submariner-no-date-14060m-steel-black-dive-40mm-f-watch-d8-/302987726236
3873,3873,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-69178-oyster-datejust-president-18k-solid-gold-emerald-diamond-bezel-/192689074958
7050,7050,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-lady-president-18k-yellow-gold-26mm-champagne-diamond-dial-diamond-bezel-/252988541188
3000,3000,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-36mm-16234-ss-white-gold-jubilee-pre-owned-all-original-roman-/123653245442
8631,8631,pre-owned,116660,Mechanical (Automatic),Stainless Steel,Stainless Steel,SEA-DWELLER DEEPSEA,FixedPrice,http://www.ebay.com/itm/2019-service-rolex-sea-dweller-deepsea-116660-steel-black-ceramic-date-watch-a9-/273680479350
3150,3150,pre-owned,16013,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-op-datejust-1603-two-tone-18k-gold-ss-mens-automatic-watch-w-box-/283390211666
7565,7500,pre-owned,69628,Mechanical (Automatic),Solid Gold,18K Yellow Gold,69628 18K Yellow Gold Yachtmaster,FixedPrice,http://www.ebay.com/itm/full-set-rolex-lady-yacht-master-69628-18k-yellow-gold-/282759975947
5450,5450,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,StoreInventory,http://www.ebay.com/itm/1995-rolex-submariner-16613-steel-18k-w-box-papers-complete-/292974903413
6100,6100,pre-owned,69173,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-69268-diamond-automatic-18k-gold-ladies-watch-/362555240500
7500,7500,pre-owned,116334,Mechanical (Automatic),Stainless Steel,"Oyster Bracelet, Stainless Steel",Rolex Datejust II,StoreInventory,http://www.ebay.com/itm/rolex-datejust-ii-ref-116334-41mm-fluted-gold-bezel-mens-watch-unworn-brand-new-/264167848328
5500,5500,pre-owned,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory,http://www.ebay.com/itm/2017-papers-rolex-air-king-116900-black-arabic-40mm-steel-oyster-watch-/292924720083
4851,4851,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,http://www.ebay.com/itm/rolex-16570-explorer-ii-ss-oyster-bracelet-black-dial-wristwatch-just-serviced-/143124852268
8600,8550,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-116610ln-black-dial-ceramic-bezel-steel-mens-40mm-watch-/163553064670
3450,3450,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-16030-stainless-steel-36mm-white-roman-dial-jubilee-band-/273531239076
3995,3995,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-ladies-datejust-two-tone-watch-69173-/292973329372
3007,3000,pre-owned,16623,Mechanical (Automatic),"18K Gold, Stainless Steel","18K Gold, Stainless Steel",Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-yacht-master-two-tone-gold-dial-ref-16623-mens-watch-/113657333684
7291,7291,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/2013-mint-rolex-explorer-ii-42mm-216570-white-orange-stainless-gmt-date-watch-/153378288866
3450,3450,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-16030-stainless-steel-36mm-white-roman-dial-jubilee-band-/273531239076
3995,3995,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-ladies-datejust-two-tone-watch-69173-/292973329372
3007,3000,pre-owned,16623,Mechanical (Automatic),"18K Gold, Stainless Steel","18K Gold, Stainless Steel",Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-yacht-master-two-tone-gold-dial-ref-16623-mens-watch-/113657333684
7291,7291,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/2013-mint-rolex-explorer-ii-42mm-216570-white-orange-stainless-gmt-date-watch-/153378288866
6467,6450,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-date-submariner-stainless-steel-16610t-watch-c-2003-2005-/283359082095
3295,3295,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction,http://www.ebay.com/itm/mens-vintage-rolex-oyster-perpetual-datejust-stainless-steel-gold-diamond-watch-/192824934459
8000,8000,pre-owned,MTV5336K,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-114060-steel-oyster-black-ceramic-bezel-mens-box-no-papers-/173800757424
4300,4300,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,http://www.ebay.com/itm/rolex-explorer-ii-16570-black-dial-very-good-condition-have-case-and-documents-/113655106339
6545,6500,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-216570-2017-mens-42mm-steel-oyster-bracelet-pre-owned-/233140189523
3380,3380,new with tags,179174,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Lady-Datejust,StoreInventory,http://www.ebay.com/itm/genuine-new-rolex-lady-datejust-watch-black-roman-face-jubilee-bracelet-179174-/192785229141
4495,4475,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-16234-datejust-s-serial-blue-arabic-dial-18k-white-gold-steel-automatic-/143117706817
4900,4900,pre-owned,69173,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-mens-datejust-blue-diamond-sapphire-18k-yellow-gold-steel-watch-/173802652166
9100,9000,pre-owned,18038,Mechanical (Automatic)  Quick-Set Caliber 3055,Original Rolex 18K Yellow Gold,"Original Rolex 18K Yellow Gold President Bracelet, Yellow Gold",Rolex Day-Date,StoreInventory,http://www.ebay.com/itm/mens-18k-white-gold-rolex-daydate-diamonds-18039-/163553188371
7950,7950,new with tags,178274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-178274-wrist-watch-unisex-/273712930520
9020,8999,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-mens-presidential-day-date-champagne-diamond-dial-18k-y-g-box-papers-/283385954014
3295,3295,pre-owned,79240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-ladies-date-79190-stainless-steel-white-dial-box-papers-/273672778436
10000,10000,pre-owned,6917,Mechanical: Automatic,Solid Gold,Yellow Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-26mm-presidential-black-dial-18k-yellow-gold-ladies-custom-diamond-watch-/132959533012
10995,10995,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-date-model-116610-black-index-dial-black-ceramic-bezel-/192469436355
5800,5800,pre-owned,16550,Mechanical (Automatic),Stainless Steel,Stainless Steel,16550 Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-vintage-stainless-steel-40mm-transitional-explorer-ii-16550-black-dial-/233040386196
7533,7533,pre-owned,6426,Mechanical (Hand-winding),Stainless Steel,Leather,Rolex Oyster Precision,Auction,http://www.ebay.com/itm/authentic-mens-rolex-watch-/192830535425
9500,9400,pre-owned,18038,Mechanical (Automatic)  Quick-Set Caliber 3055,Original Rolex 18K Yellow Gold,"Original Rolex 18K Yellow Gold President Bracelet, Yellow Gold",Rolex Day-Date,StoreInventory,http://www.ebay.com/itm/mens-18k-white-gold-rolex-daydate-diamonds-18039-/163553110738
3189,3189,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,FixedPrice,http://www.ebay.com/itm/rare-mint-rolex-datejust-36mm-1601-gold-steel-white-pie-pan-dial-oyster-watch-/283382510410
5785,5750,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/vintage-rolex-president-day-date-18k-gold-1803-07-pie-pan-dial-chronometer-1967-/273646599450
4149,4149,pre-owned,15223/*15200,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Oyster Perpetual,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-date-mans-gold-watch-fantastic-condition-box-/312475217208
9500,9500,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-18038-oyster-perpetual-day-date-18k-yellow-gold-automatic-mens-watch-/292959689605
10800,10800,new with tags,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/new-rolex-submariner-date-oyster-steel-bracelet-black-dial-cerachrom-116610ln-/153384683355
5500,5400,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/233134985166
3119,3099,pre-owned,1005,Automatic,"Solid Gold, Stainless Steel",Genuine Leather,Rolex Oyster Perpetual,StoreInventory,http://www.ebay.com/itm/mint-vintage-rolex-1005-oyster-perpetual-18k-solid-yellow-gold-mens-watch-/273705963234
11993,11993,pre-owned,178383,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex DateJust 31,FixedPrice,http://www.ebay.com/itm/2012-ladies-rolex-datejust-mid-size-31mm-olive-diamond-178383-two-tone-watch-/263897375985
11993,11993,pre-owned,178383,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex DateJust 31,FixedPrice,http://www.ebay.com/itm/2012-ladies-rolex-datejust-mid-size-31mm-olive-diamond-178383-two-tone-watch-/263897375985
5000,5000,pre-owned,3696,Mechanical (Automatic),"Gold, Stainless Steel",Leather,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/beautiful-rolex-bubbleback-rose-gold-/132958084696
3080,3080,pre-owned,69173,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-26-stainless-steel-18k-yellow-gold-watch-69173-w4890-/232712643173
8550,8500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-116610ln-black-dial-ceramic-bezel-steel-mens-40mm-watch-/163545368648
9000,9000,pre-owned,18038,Mechanical (Automatic),Solid Gold,"Solid Gold, Yellow Gold",Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-day-date-president-18038-18k-yellow-gold-mens-wrist-watch-/273596081527
6475,6450,pre-owned,16600,Automatic Chronometer,Stainless Steel,Stainless Steel,Sea Dweller 16600,Auction,http://www.ebay.com/itm/rolex-sea-dweller-16600-a-serial-number-swiss-dial-face-style-r16600a30b9316-/163549644946
4594,4594,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/ladies-rolex-datejust-69178-26mm-white-diamond-18k-yellow-gold-watch-president-/273653939626
11350,11350,pre-owned,6827,Mechanical (Automatic),Solid Gold,Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-president-datejust-midsize-31mm-18k-yellow-gold-automatic-w-diamond-bezel-/333074011348
5000,5000,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/rare-rolex-day-date-president-18k-yellow-gold-mens-watch-375-diamonds-/273707773030
5750,5750,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,http://www.ebay.com/itm/2006-rolex-explorer-ii-16570-d-series-black-dial-box-papers-/323688293488
7988,7988,new with tags,15000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-31mm-diamond-bezel-diamond-vi-womens-watch-/113631033974
3151,3131,seller refurbished,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-gents-datejust-2-tone-midsize-1989-/283373920725
3025,3000,pre-owned,6917,Automatic,"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-watch-rare-1630-14k-ss-oyster-perpetual-datejust-oysterquartz-prototype-/183679951351
3500,3475,pre-owned,179174,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-26mm-datejust-179174-diamond-dial-2010-model-18k-gold-bezel-/163499945941
11192,11192,pre-owned,116613,Mechanical (Automatic),"Stainless Steel, Gold","Yellow Gold, Stainless Steel",Rolex Submariner,FixedPrice,http://www.ebay.com/itm/mint-2017-rolex-submariner-black-ceramic-18k-gold-two-tone-116613-ln-watch-a9-/303024491185
4600,4600,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-18k-gold-two-tone-band-2ct-vs-diamond-bezel-gold-face-/283383817730
4400,4400,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Yellow Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-mens-oyster-perpetual-datejust-two-tone-gold-and-silver-diamond-accents-/223394569127
4750,4750,pre-owned,78243,Mechanical (Automatic),18K Yellow Gold & Stainless Steel,18K Yellow Gold & Stainless Steel,Datejust,StoreInventory,http://www.ebay.com/itm/rolex-31mm-datejust-steel-18k-white-gold-bezel-watch-box-papers-177234-/113622840788
3600,3600,pre-owned,67194,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/vintage-rolex-tudor-oyster-prince-submariner-w-box-and-papers-/173787309405
4694,4694,pre-owned,14270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,http://www.ebay.com/itm/2005-rolex-explorer-swiss-made-f-black-36mm-114270-stainless-oyster-watch-/292959308399
7650,7650,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-black-dial-automatic-mens-watch-16610-/273672200735
6320,6255,pre-owned,216570BKSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,216570,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-216570bkso-wrist-watch-men-/123555433186
3990,3990,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-39mm-rhodium-dial-/264200248741
2616,2600,pre-owned,1601,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-datejust-36-/153380237277
5100,5100,pre-owned,1601,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-36mm-datejust-solid-18k-yellow-gold-watch-dark-champagne-dial-1601-/303029695815
5100,5100,pre-owned,1601,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-36mm-datejust-solid-18k-yellow-gold-watch-champagne-dial-1601-/302980216479
11495,11495,new with tags,116334,Swiss Automatic,Stainless Steel,Stainless Steel,Datejust Ii,FixedPrice,http://www.ebay.com/itm/rolex-new-datejust-ii-116333-41mm-steel-gold-black-2016-box-paper-warranty-rl55-/201921022563
7946,7946,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice,http://www.ebay.com/itm/mint-rolex-gmt-master-ii-stainless-black-40mm-ceramic-116710-ln-date-watch-b-p-/153313983201
6883,6850,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Leather,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-18k-white-gold-steel-1601-automatic-watch-/292964440682
4550,4550,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/rare-vintage-rolex-6305-red-datejust-oyster-big-bubble-back-14k-bezel-mens-watch-/173779941377
5900,5900,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Yellow Gold and Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-18kt-gold-stainless-tuxedo-dial-jubilee-116233-/362558690881
6600,6600,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex,FixedPrice,http://www.ebay.com/itm/rolex-ladies-president-18k-yellow-gold-diamond-watch-black-face-/201903065249
3750,3750,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/authentic-mens-2003-rolex-yachtmaster-platinum-steel-w-silver-dial-40mm-watch-/223392636999
3250,3250,pre-owned,16220,Mechanical (Automatic),"Silver, Stainless Steel",Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-16220-ss-oyster-perpetual-datejust-36mm-silver-dial-watch-box-books-/143117081061
7100,7100,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-president-18k-gold-jubilee-dial-ladies-watch-box-papers-w-69178-/362541360936
5700,5700,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/mens-rolex-watch-36mm-datejust-blue-color-roman-numeral-dial-fluted-bezel-/132515641642
8550,8500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-116610ln-black-dial-ceramic-bezel-steel-mens-40mm-watch-/163543652827
9330,9300,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,http://www.ebay.com/itm/rare-rolex-day-date-president-18k-yellow-gold-mens-watch-/153376030727
8500,8500,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-stainless-steel-black-dial-116660-/273638821260
4815,4750,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/authentic-18k-gold-rolex-midsize-31mm-watch-/233128865722
6500,6500,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/2009-mens-rolex-datejust-two-tone-new-style-oyster-black-dial-watch-116233-/254112445036
3000,3000,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Rolex Oysterdate,FixedPrice,http://www.ebay.com/itm/rolex-oysterdate-precision-6694-mechanical-hand-winding-watch-circa-1959-/113403088930
10995,10995,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-black-dial-black-ceramic-bezel-40mm-oyster-steel-116610-/182522642792
8999,8999,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/vintage-rolex-submariner-date-1680-mens-stainless-steel-watch-divers-/173793984129
6023,5700,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,http://www.ebay.com/itm/rolex-explorer-ii-216570-box-and-papers-2018-full-set-/273685623346
7985,7985,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-black-dial-stainless-steel-m-serial-16610-rehaut-bezel-box-/323220091913
9200,9200,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,http://www.ebay.com/itm/rolex-gmt-master-ii-pepsi-edition-dual-tone-dial-stainless-steel-watch-/113557274856
3793,3793,pre-owned,179160,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/2008-engraved-ladies-rolex-datejust-26mm-179174-silver-mop-roman-stainless-watch-/153063359557
5318,5200,pre-owned,6517,Mechanical (Automatic),Gold,"none, Gold",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-original-18k-yellow-gold-ref-18038-presental-day-date-single-qs-automatic-/283365124657
8550,8500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-116610ln-black-dial-ceramic-bezel-steel-mens-40mm-watch-/163533292013
12000,12000,pre-owned,1803,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex President,StoreInventory,http://www.ebay.com/itm/president-white-gold-rolex-18k-watch-mens-size-36mm-w-blue-diamond-dial-used-/283370404290
5600,5600,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/2008-rolex-datejust-36mm-jubilee-bracelet-fluted-bezel-116234-black-silver-dial-/264182016665
7689,7689,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/papers-rolex-submariner-date-16613-two-tone-steel-18k-gold-blue-watch-box-s8-/302996745781
4850,4850,pre-owned,Rolex Mens Datejust 16013,Automatic Winding Movement Caliber 3035,Stainless Steel,"Stainless Steel, Solid Gold",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/2002-pre-owned-rolex-datejust-two-tone-36mm-complete-original-box-papers-/123326531217
7500,7500,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-gold-mens-oyster-bracelet-watch-116334-/283262171433
9950,9950,pre-owned,126334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-yellow-gold-mens-oyster-bracelet-watch-116333-/283360357340
12000,12000,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-president-18239-18k-white-gold-day-date-double-quick-series-box-papers-/273699170130
8500,8500,pre-owned,69178,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-black-diamond-dial-bezel-datejust-watch-president-gold-/303053233155
