,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
18,3/26/2019,7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),"Yellow Gold, Stainless Steel","Diamonds, Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,3/20/2019,http://www.ebay.com/itm/2000-rolex-datejust-16233-18k-gold-steel-diamond-dial-bezel-bracelet-36mm-watch-/173844109809
19,3/26/2019,4695,4695,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,3/26/2019,http://www.ebay.com/itm/rolex-datejust-16233-18k-yellow-gold-stainless-steel-blue-mop-diamond-dial-/283431354160
22,3/26/2019,6755,6700,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,3/26/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-16610-stainless-steel-cream-luminous-hour-markers-/264256413272
25,3/26/2019,6579,6500,pre-owned,16622,Mechanical (Automatic),Platinum / Steel,Stainless Steel,Rolex Yacht-Master,Auction,3/19/2019,http://www.ebay.com/itm/men-s-rolex-yachtmaster-platinum-40mm-immaculate-n-series-16622-fully-serviced-/223453938174
26,3/26/2019,5500,5500,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,YACHT-MASTER,FixedPrice,3/26/2019,http://www.ebay.com/itm/rolex-yacht-master-40mm-16622-platinum-stainless-steel-oyster-bracelet-w-box-/254177122445
32,3/26/2019,3650,3650,pre-owned,Does Not Apply,automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,3/26/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-36mm-white-grape-dial-/283431275216
38,3/26/2019,8978,8978,pre-owned,126334,Mechanical: Automatic,"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust 41,FixedPrice,3/26/2019,http://www.ebay.com/itm/rolex-datejust-ii-rhodium-diamond-dial-126334-steel-gold-box-papers-tags-/202636234126
39,3/26/2019,4285,4280,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction,3/22/2019,http://www.ebay.com/itm/rolex-yacht-master-midsize-stainless-steel-platinum-watch-168622-w-box-papers-/382854541867
42,3/26/2019,5485,5485,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,3/25/2019,http://www.ebay.com/itm/stainless-steel-rolex-explorer-ii-date-chronometer-white-dial-watch-40mm-16570-/233178371161
43,3/26/2019,7594,7594,pre-owned,16803,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Submariner,FixedPrice,2/4/2019,http://www.ebay.com/itm/rolex-submariner-16803-blue-serti-diamond-sapphire-two-tone-gold-watch-16613-/264180513802
48,3/26/2019,8500,8500,pre-owned,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/19/2019,http://www.ebay.com/itm/rolex-submariner-date-116610ln-ss-black-dial-oyster-bracelet-boxes-certificate-/303098606808
49,3/26/2019,8034,7999,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,3/22/2019,http://www.ebay.com/itm/rolex-submariner-114060-non-date-40mm-ceramic-bezel-w-box-c-2013-box-papers-/323748729503
50,3/26/2019,6009,6001,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,Auction,3/19/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-18kt-yellow-gold-and-stainless-steel-automatic-wrist-watch-/372631506983
53,3/26/2019,5021,4993,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Rolex Datejust,FixedPrice,2/24/2019,http://www.ebay.com/itm/rolex-datejust-mens-watch-diamonds-steel-gold-/362565989027
54,3/26/2019,3895,3850,pre-owned,Does Not Apply,Mechanical (Hand-winding),Solid Gold,"Crocodile Skin, Genuine Leather",Rolex Cellini,FixedPrice,2/26/2019,http://www.ebay.com/itm/rolex-cellini-solid-18k-gold-mens-watch-/323711821886
56,3/26/2019,5005,5000,new without tags,116613,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Submariner,FixedPrice,3/26/2019,http://www.ebay.com/itm/rolex-submariner-date-ss-yellow-gold-blue-dial-/223460971842
58,3/26/2019,6750,6750,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,3/6/2019,http://www.ebay.com/itm/rolex-16803-submariner-1986-blue-dial-bezel-2-tone-gold-stainless-steel-watch-/143161202564
60,3/26/2019,5500,5500,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,3/24/2019,http://www.ebay.com/itm/2002-rolex-16622-yacht-master-platinum-bezel-gray-silver-dial-40mm-mens-watch-/173849178647
68,3/25/2019,4053,4053,pre-owned,Does Not Apply,Mechanical (Hand-winding),Stainless Steel,Genuine Leather,Germes,Auction,3/18/2019,http://www.ebay.com/itm/mens-skeleton-watch-rolex-marriage-antiques-wristwatches-swiss-movement-leather-/173841313260
69,3/25/2019,6150,6100,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/25/2019,http://www.ebay.com/itm/rolex-steel-18-karat-gold-submariner-ref-16613-blue-dial-/173850208281
72,3/25/2019,4703,4683,pre-owned,Does not apply,Mechanical (Hand-winding),Stainless Steel,"Stainless Steel, solid stainless steel Rolex Bracelet",Rolex 6694,Auction,3/20/2019,http://www.ebay.com/itm/rolex-6694-precision-swiss-made-mickey-mouse-motif-dial-manual-1978-watch-mc155-/264247053204
75,3/25/2019,3600,3500,pre-owned,17013,Quartz,Stainless Steel,Silver,Rolex Datejust,Auction,3/21/2019,http://www.ebay.com/itm/rolex-datejust-36mm-two-tone-silver-rosegold-/333126407779
79,3/25/2019,3000,3000,new with tags,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,Auction,3/24/2019,http://www.ebay.com/itm/new-box-ladies-rolex-oyster-perpetual-steel-pink-dial-/303106557366
86,3/24/2019,6400,6400,pre-owned,16610,Automatic Self Wind,Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/17/2019,http://www.ebay.com/itm/rolex-submariner-16610-stainless-steel-automatic-mens-watch-/183735104185
92,3/23/2019,3250,3250,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & Gold Filled Yellow Gold,Rolex Datejust,Auction,3/16/2019,http://www.ebay.com/itm/rolex-datejust-mens-stainless-steel-yellow-gold-watch-black-diamond-dial-1601-/362587208348
96,3/23/2019,3650,3650,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless & Solid Gold,Datejust,Auction,3/16/2019,http://www.ebay.com/itm/rolex-datejust-oyster-perpetual-stainless-and-gold-black-face-exceptional-/303098322078
99,3/23/2019,4373,4361,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,3/23/2019,http://www.ebay.com/itm/1997-rolex-datejust-36mm-stainless-white-gold-dial-jubilee-bracelet-ref-16234-/143183471131
101,3/22/2019,5350,5350,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,Auction,3/15/2019,http://www.ebay.com/itm/rolex-mens-submariner-stainless-steel-40mm-oyster-bracelet-diamond-red-dial-/223449512863
102,3/22/2019,6900,6900,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction,3/17/2019,http://www.ebay.com/itm/rolex-41mm-datejust-ii-116334-mens-18k-white-gold-fluted-bezel-steel-blue-silver-/254167669061
111,3/22/2019,4401,4401,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,3/12/2019,http://www.ebay.com/itm/rolex-datejust-69178-ladies-presidential-diamond-green-dial-18k-gold-watch-6-1-2-/323732136701
112,3/22/2019,6950,6900,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/15/2019,http://www.ebay.com/itm/rolex-steel-18-karat-gold-submariner-ref-16613-blue-dial-/173836737932
118,3/21/2019,3671,3650,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold & Stainless Steel,18K Yellow Gold & Stainless Steel,1601,Auction,3/14/2019,http://www.ebay.com/itm/rolex-mens-datejust-two-tone-red-diamond-dial-1-00ct-diamond-bezel-wow-/273761153951
121,3/21/2019,7500,7500,pre-owned,5443/9,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice,1/25/2019,http://www.ebay.com/itm/rolex-cellini-prince-manual-white-gold-mens-strap-watch-5443-9-/292933792405
122,3/21/2019,5368,5358,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/19/2019,http://www.ebay.com/itm/authentic-rolex-submariner-16610-date-includes-box-and-papers-/163605725699
123,3/21/2019,6550,6500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/21/2019,http://www.ebay.com/itm/rolex-steel-18-karat-gold-submariner-ref-16613-blue-dial-u-series-/132997780164
127,3/21/2019,10100,10100,pre-owned,228235,Mechanical (Automatic) Caliber 3255,Solid Gold,Solid Gold,Rolex Day-Date,Auction,3/14/2019,http://www.ebay.com/itm/rolex-day-date-228235-wrist-watch-women-/153415114726
128,3/21/2019,9080,9000,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,Auction,3/20/2019,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-stainless-steel-automatic-mens-watch-/254170448610
129,3/20/2019,8688,8688,pre-owned,18078,Mechanical (Automatic),18k Yellow Gold,Yellow Gold,Rolex President,Auction,3/13/2019,http://www.ebay.com/itm/rolex-president-18078-day-date-18k-single-quick-set-factory-bark-very-nice-/132987947814
130,3/20/2019,7900,7900,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/17/2019,http://www.ebay.com/itm/rare-rolex-day-date-president-1803-18k-yellow-gold-mens-watch-/293011908514
131,3/20/2019,3160,3160,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction,3/13/2019,http://www.ebay.com/itm/auth-rolex-16220-oyster-perpetual-datejust-36mm-stainless-steel-jubilee-band-/163595512925
134,3/20/2019,3500,3500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Steel,Datejust,Auction,3/18/2019,http://www.ebay.com/itm/original-vintage-rolex-steel-oysterquartz-datejust-17014-original-box-papers-/323742793940
135,3/20/2019,7100,7050,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/13/2019,http://www.ebay.com/itm/rolex-steel-18-karat-gold-submariner-ref-16613-blue-dial-u-series-/132987658422
136,3/20/2019,5500,5500,pre-owned,69173,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,Auction,3/13/2019,http://www.ebay.com/itm/1986-rolex-president-oyster-perpetual-datejust-solid-18k-yellow-gold-wristwatch-/352616573099
137,3/20/2019,9075,9000,new with tags,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction,3/13/2019,http://www.ebay.com/itm/rolex-datejust-116138-18k-gold-36mm-dial-pre-owned-great-condition-/163595003583
139,3/20/2019,4520,4500,pre-owned,116400,Mechanical: Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction,3/20/2019,http://www.ebay.com/itm/rolex-milgauss-stainless-steel-black-dial-mens-watch-box-tags-books-m-116400-/264247041998
140,3/20/2019,5019,4999,pre-owned,116400,Mechanical: Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction,3/20/2019,http://www.ebay.com/itm/rolex-milgauss-stainless-steel-black-dial-mens-watch-box-tags-books-m-116400-/183739542017
142,3/19/2019,5600,5600,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,3/19/2019,http://www.ebay.com/itm/womens-preowned-rolex-explorer-ii-oyster-perpetual-steel-platinum-watch-42mm-/362590690691
143,3/19/2019,7500,7500,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,Auction,3/19/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-116710ln-40-mm-stainless-steel-ceramic-black-mens-watch-/273769056607
145,3/19/2019,6321,6300,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Yellow Gold & Stainless Steel, 1.50CT Diamond Bezel","18K Yellow Gold & Stainless Steel, 6.50CT Diamond Bezel",16013,Auction,3/12/2019,http://www.ebay.com/itm/rolex-datejust-two-tone-red-diamond-dial-8-00ct-diamond-bezel-band-wow-/283414455971
148,3/19/2019,7010,7000,pre-owned,MTV5336K,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/19/2019,http://www.ebay.com/itm/rolex-submariner-16610-black-stainless-steel-box-and-booklets-/254169257552
151,3/19/2019,5300,3800,pre-owned,16014/16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,3/12/2019,http://www.ebay.com/itm/authentic-rolex-datejust-blue-jubilee-dial-w-1ct-genuine-diamond-bezel-/223445558326
152,3/19/2019,8350,8250,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/12/2019,http://www.ebay.com/itm/rolex-submariner-date-black-bezel-40mm-ceramic-watch-complete-116610ln-/173833635118
161,3/18/2019,3871,3850,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,6517,Auction,3/11/2019,http://www.ebay.com/itm/rolex-ladies-presidential-datejust-mother-pearl-diamond-dial-18k-yellow-gold-/273756521486
167,3/18/2019,2882,2850,pre-owned,1005,Automatic,18kt Yellow Gold,Genuine Leather,Rolex Oyster Perpetual,Auction,3/11/2019,http://www.ebay.com/itm/vintage-rolex-oyster-perpetual-1960s-18k-yellow-gold-1005-mens-watch-/264235144554
171,3/18/2019,4500,4500,pre-owned,MTV08477,Mechanical: Automatic,"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Submariner,Auction,3/18/2019,http://www.ebay.com/itm/rolex-submariner-stainless-steel-w-black-dial-mens-16800-/392261088107
174,3/18/2019,5500,5500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/18/2019,http://www.ebay.com/itm/rare-rolex-day-date-president-1803-18k-yellow-gold-mens-watch-/293012147325
180,3/17/2019,4250,4250,manufacturer refurbished,1601,Mechanical (Automatic),Stainless Steel,"Genuine Leather, Rubber",Rolex Datejust,Auction,3/10/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-mens-diamond-red-seal-watch-quartz-kinetic-round-/382832657889
181,3/17/2019,8999,8999,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/10/2019,http://www.ebay.com/itm/mens-genuine-rolex-18k-gold-president-day-date-model-18038-quickset-very-nice-/223443241138
185,3/17/2019,5220,5200,pre-owned,231,Mechanical (Hand-winding),Stainless Steel,Leather,pilot,Auction,3/10/2019,http://www.ebay.com/itm/rolex-6694-swiss-made-stainless-steel-manual-1970s-mens-35mm-vintage-watch-mc118-/264232543160
189,3/16/2019,6700,6700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Datejust,Auction,3/6/2019,http://www.ebay.com/itm/18k-gold-steel-rolex-submariner-quickset-16803-two-tone-mens-watch-/392254323802
194,3/16/2019,8100,8100,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/16/2019,http://www.ebay.com/itm/mens-18k-rolex-presidential-18038-/153417936147
198,3/15/2019,4060,4060,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & Gold Filled Yellow Gold,Rolex Datejust,Auction,3/9/2019,http://www.ebay.com/itm/rolex-sea-dweller-jacques-piccard-edition-/273751919554
201,3/15/2019,11100,11100,pre-owned,80138,Mechanical (Automatic),Gold,Gold,Rolex Pearlmaster Masterpiece,Auction,3/5/2019,http://www.ebay.com/itm/rolex-pearlmaster-18k-gold-mop-dial-80138-diamond-bezel-ladies-watch-box-papers-/401722208299
203,3/15/2019,6600,6600,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction,3/5/2019,http://www.ebay.com/itm/mens-rolex-16803-18k-gold-ss-quickset-two-tone-blue-blue-submariner-watch-/333104048105
208,3/15/2019,2530,2500,pre-owned,Does Not Apply,Mechanical (Hand-winding),Solid Gold,"Crocodile Skin, Genuine Leather",Rolex Cellini,Auction,3/8/2019,http://www.ebay.com/itm/original-solid-gold-rolex-watch-rolex-cellini-18k-case-strap-wristwatch-c1993-/254155658244
213,3/15/2019,6150,6100,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Day-Date,Auction,3/5/2019,http://www.ebay.com/itm/rolex-18k-gold-presidential-day-date-ref-18038-36mm-w-gucci-leather-strap-/153402970992
214,3/15/2019,8350,8300,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,Auction,3/5/2019,http://www.ebay.com/itm/rolex-gmt-master-pepsi-bezel-ref-16700-w-papers-serial-year-t-ss-40mm-/153402958249
215,3/14/2019,6991,6850,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,3/7/2019,http://www.ebay.com/itm/rolex-datejust-36mm-stainless-white-gold-diamond-dial-jubilee-bracelet-ref-16234-/264229341744
220,3/14/2019,8000,8000,pre-owned,16018,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Datejust,Auction,3/9/2019,http://www.ebay.com/itm/mens-rolex-watch-datejust-16018-presidential-1900-dollar-diamond-bezel-/153409022812
221,3/14/2019,4666,4666,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,3/13/2019,http://www.ebay.com/itm/2007-rolex-explorer-ii-16570-t-steel-black-gmt-40mm-sel-no-holes-z-watch-n8-/264237512446
223,3/14/2019,3120,3100,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual DateJust 1600,Auction,3/7/2019,http://www.ebay.com/itm/rolex-datejust-1600-wrist-watch-36mm-gray-pie-pan-dial-serviced-last-year-/264228088070
224,3/14/2019,5000,5000,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,YACHT-MASTER,Auction,3/7/2019,http://www.ebay.com/itm/rolex-mint-yacht-master-40mm-stainless-steel-platinum-16622-m-/173826407927
228,3/13/2019,10681,10601,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction,3/12/2019,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-stainless-steel-automatic-mens-watch-/254161543678
230,3/13/2019,5750,5750,pre-owned,126300-BLUSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,Auction,3/7/2019,http://www.ebay.com/itm/rolex-datejust-41-stainless-steel-blue-dial-/223438079479
234,3/13/2019,3437,3437,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,3/6/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-superlative-chronometer-watch-gold-16233-/283407113285
237,3/13/2019,4999,4999,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,3/12/2019,http://www.ebay.com/itm/2007-rolex-explorer-ii-16570-t-steel-black-gmt-40mm-sel-no-holes-z-watch-n8-/264235959590
242,3/13/2019,5040,5040,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction,3/6/2019,http://www.ebay.com/itm/rolex-mens-oyster-perpetual-datejust-two-tone-gold-and-silver-oyster-diamond-box-/382823409672
243,3/12/2019,10153,10153,pre-owned,18038,Mechanical (Automatic),18k Gold,18k Gold,Day-Date,Auction,3/5/2019,http://www.ebay.com/itm/18k-rolex-day-date-president-1979-36mm-18238-3-50ct-bezel-approximate-16ctw-/223436424169
244,3/12/2019,6634,6634,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Two-Tone: Stainless Steel & 18k Yellow Gold, Solid Gold, Stainless Steel",Rolex Submariner,Auction,3/5/2019,http://www.ebay.com/itm/rolex-blue-submariner-18k-stainless-solid-end-p-serial-2000-40mm-model-16613-/223436358243
247,3/12/2019,4100,4100,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Genuine Suede,Rolex Datejust,Auction,3/5/2019,http://www.ebay.com/itm/very-rare-1966-rolex-solid-14k-gold-swiss-only-datejust-1601-36mm-/333103950231
248,3/12/2019,5100,5100,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,Auction,3/5/2019,http://www.ebay.com/itm/mens-gold-rolex-president-1803-genuine-alligator-strap-/163579935308
249,3/12/2019,7810,7800,new with tags,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/5/2019,http://www.ebay.com/itm/rolex-submariner-date-116610-engraved-blue-ceramic-s-steel-w-box-card-tag-books-/264225361232
250,3/12/2019,10199,10199,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/5/2019,http://www.ebay.com/itm/rare-mens-18kt-gold-diamond-rolex-19038-pyramid-18k-president-watch-box-n-papers-/312515866438
251,3/12/2019,9009,9009,pre-owned,Rolex Men's 36mm Day Date 18038,Mechanical (Automatic),18k Yellow Gold,Solid Gold,Rolex Day-Date,Auction,3/7/2019,http://www.ebay.com/itm/men-s-18038-rolex-presidential-day-date-watch-36mm-18k-gold-custom-green-dial-/153405766930
260,3/11/2019,4550,4550,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,Auction,3/11/2019,http://www.ebay.com/itm/rolex-gmt-master-/333112350835
265,3/11/2019,5500,5500,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,Auction,3/4/2019,http://www.ebay.com/itm/rolex-mens-submariner-stainless-steel-40mm-oyster-bracelet-diamond-red-dial-/223434169366
266,3/11/2019,6500,6500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/11/2019,http://www.ebay.com/itm/rolex-submariner-16613-two-tone-18k-gold-stainless-steel-blue-face-bezel-/173831402690
268,3/11/2019,6014,6000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,3/11/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-ladies-18k-and-stainless-steel-bracelet-/163591119081
269,3/11/2019,4649,4649,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,3/1/2019,http://www.ebay.com/itm/rolex-datejust-69178-ladies-presidential-diamond-green-dial-18k-gold-watch-6-1-2-/323715066230
274,3/11/2019,4070,4050,pre-owned,Does not apply,Mechanical (Hand-winding),18k solid white gold,"Genuine Leather, original stainless steel Rolex buckle",Rolex Cellini,Auction,3/6/2019,http://www.ebay.com/itm/rolex-cellini-1970-ref-4084-18k-solid-gold-vintage-manual-mens-31mm-watch-fb241-/264226613413
279,3/10/2019,5740,5700,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,3/7/2019,http://www.ebay.com/itm/rolex-submariner-vintage-unpolished-stainless-steel-black-dial-bezel-ref-16610-/264228293792
282,3/10/2019,3400,3400,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Rolex Stainless Steel,Rolex Datejust,Auction,3/4/2019,http://www.ebay.com/itm/rolex-datejust-16234-18ct-white-gold-36mm-diamond-dial-1995-year-/113671995446
283,3/10/2019,4000,4000,manufacturer refurbished,1601,Mechanical (Automatic),Stainless Steel,"Genuine Leather, Rubber",Rolex Datejust,Auction,3/9/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-mens-diamond-red-seal-watch-quartz-kinetic-round-/382830558678
284,3/10/2019,3045,3000,manufacturer refurbished,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction,3/7/2019,http://www.ebay.com/itm/vintage-rolex-oyster-perpetual-datejust-stainless-steel-gold-mens-watch-/153406649331
291,3/10/2019,3070,3050,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,3/7/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-116200-stainless-steel-automatic-mens-watch-/183718956574
292,3/10/2019,3509,3500,pre-owned,116613,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction,3/10/2019,http://www.ebay.com/itm/rolex-submariner-date-ss-yellow-gold-blue-dial-116613-/223442285154
294,3/10/2019,4535,4535,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,3/3/2019,http://www.ebay.com/itm/estate-rolex-ladies-president-69178-18k-gold-datejust-diamond-bezel-mop-dial-/352608084897
299,3/10/2019,3063,3050,pre-owned,67194,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,3/3/2019,http://www.ebay.com/itm/rolex-ladies-yachtmaster-169622-circa-2001-nr-/254143057753
308,3/9/2019,6600,6600,pre-owned,79163,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,2/27/2019,http://www.ebay.com/itm/rolex-gmt-master-steel-18k-yellow-gold-mop-diamond-dial-40-mm-oyster-watch-1675-/233147635048
313,3/8/2019,7863,7855,pre-owned,5513,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,Auction,2/26/2019,http://www.ebay.com/itm/1967-rolex-submariner-5513-nice-clean-watch-serviced-/254141530163
315,3/8/2019,6700,6700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,3/1/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-/362570207626
316,3/8/2019,6096,6056,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer II,Auction,3/1/2019,http://www.ebay.com/itm/rolex-explorer-ii-16570-t-white-dial-caliber-3186-automatic-watch-m-series-polar-/312510462322
317,3/8/2019,3600,3600,pre-owned,17013,Quartz (Battery),Stainless Steel,"Stainless Steel,Yellow Gold",Datejust,Auction,3/2/2019,http://www.ebay.com/itm/rolex-datejust-watch-steel-gold-bracelet-/113669375813
