,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
108,4/22/2019,4025,4000,pre-owned,Does not apply,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Oyster Perpetual,FixedPrice,4/22/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-18k-yellow-gold-stainless-steel-wide-fluted-bezel-/273817303722
110,4/22/2019,5500,5500,new with tags,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,4/22/2019,http://www.ebay.com/itm/mens-rolex-datejust-ii-stainless-steel-w-white-dial-116300-/273817579015
111,4/22/2019,7000,7000,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction,4/15/2019,http://www.ebay.com/itm/mens-preowned-rolex-explorer-ii-42mm-watch-mint-condition-/362622372154
113,4/22/2019,5500,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,4/22/2019,http://www.ebay.com/itm/rolex-submariner-16610-oyster-perpetual-date-w-box-papers-1998-/323786008315
114,4/22/2019,3888,3888,pre-owned,114200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King,FixedPrice,4/1/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-auto-34mm-steel-mens-bracelet-watch-114200-/293030927945
115,4/22/2019,6900,6900,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,3/6/2019,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-black-dial-16610t-/264227493885
117,4/22/2019,5750,5700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory,4/12/2019,http://www.ebay.com/itm/rolex-air-king-116900-stainless-steel-automatic-mens-watch-40mm-/113715889888
118,4/22/2019,11050,11000,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,StoreInventory,4/18/2019,http://www.ebay.com/itm/rolex-gmt-master-pepsi-vintage-auto-steel-mens-riveted-bracelet-watch-date-1675-/163655324317
121,4/22/2019,7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/5/2019,http://www.ebay.com/itm/rolex-2006-submariner-box-papers-black-no-holes-oyster-16610-40mm-steel-/192881200489
126,4/22/2019,8544,8544,pre-owned,16018/16000,Mechanical (Automatic),Gold,Leather,Datejust,Auction,4/15/2019,http://www.ebay.com/itm/rolex-126303-datejust-41-ss-18k-gold-champagne-dial-oyster-bracelet-box-cert-/143212676717
129,4/22/2019,9900,9800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,4/21/2019,http://www.ebay.com/itm/2019-rolex-submariner-date-ceramic-stainless-steel-automatic-watch-116610ln-/273816160058
